campaign_name,campaign_start_date,campaign_end_date,target_region,target_country,target_category,campaign_channel,planned_budget,expected_impressions,expected_clicks,target_conversion_rate_pct,target_conversions,expected_revenue_lift,expected_roas,campaign_objective,campaign_status,owner
New Year Tech Deals,2026-01-05,2026-01-31,North America,US,Smartphones,Social Media,18500.00,2312500,80937,3.2,2590,1483560.00,80.2,Acquisition,Completed,Sarah Chen
New Year Tech Deals,2026-01-05,2026-01-31,North America,US,Smartphones,Paid Search,22000.00,1833333,64167,4.1,2631,1505346.00,68.4,Acquisition,Completed,Sarah Chen
New Year Tech Deals,2026-01-05,2026-01-31,Europe West,FR,Laptops,Social Media,18500.00,1850000,55500,2.8,1554,810384.00,43.8,Acquisition,Completed,Sarah Chen
New Year Tech Deals,2026-01-05,2026-01-31,Europe West,FR,Smartphones,Paid Search,22000.00,2444444,73333,3.5,2567,1469196.00,66.8,Acquisition,Completed,Sarah Chen
New Year Tech Deals,2026-01-05,2026-01-31,Asia Pacific,JP,Laptops,Social Media,18500.00,2642857,92500,2.9,2682,1399566.00,75.7,Acquisition,Completed,Sarah Chen
New Year Tech Deals,2026-01-05,2026-01-31,Asia Pacific,JP,Smartphones,Paid Search,22000.00,2000000,70000,3.8,2660,1523360.00,69.2,Acquisition,Completed,Sarah Chen
Valentine's Gift Guide,2026-02-01,2026-02-14,North America,US,Wearables,Email,8500.00,1700000,42500,3.5,1487,294606.00,34.7,Retention,Completed,Marie Dupont
Valentine's Gift Guide,2026-02-01,2026-02-14,North America,US,Audio,Display Ads,7200.00,900000,31500,2.6,819,108108.00,15.0,Retention,Completed,Marie Dupont
Valentine's Gift Guide,2026-02-01,2026-02-14,Europe West,FR,Wearables,Email,8500.00,1416667,49583,3.1,1537,304326.00,35.8,Retention,Completed,Marie Dupont
Valentine's Gift Guide,2026-02-01,2026-02-14,Europe West,FR,Audio,Display Ads,7200.00,1028571,30857,2.9,895,118140.00,16.4,Retention,Completed,Marie Dupont
Valentine's Gift Guide,2026-02-01,2026-02-14,Europe North,GB,Wearables,Email,8500.00,1214286,42500,3.3,1402,277596.00,32.7,Retention,Completed,Marie Dupont
Valentine's Gift Guide,2026-02-01,2026-02-14,Europe North,GB,Audio,Display Ads,7200.00,1200000,36000,2.4,864,114048.00,15.8,Retention,Completed,Marie Dupont
Spring Gadget Refresh,2026-03-01,2026-03-31,North America,US,Tablets,Paid Search,15000.00,1875000,56250,3.4,1912,736120.00,49.1,Awareness,Completed,James Miller
Spring Gadget Refresh,2026-03-01,2026-03-31,North America,US,Tablets,In-Store,12000.00,1500000,37500,2.1,787,303095.00,25.3,Awareness,Completed,James Miller
Spring Gadget Refresh,2026-03-01,2026-03-31,Asia Pacific,JP,Smart Home,Paid Search,15000.00,2142857,64286,2.7,1736,382264.00,25.5,Awareness,Completed,James Miller
Spring Gadget Refresh,2026-03-01,2026-03-31,Asia Pacific,JP,Tablets,In-Store,12000.00,1714286,51429,3.0,1543,594055.00,49.5,Awareness,Completed,James Miller
Spring Gadget Refresh,2026-03-01,2026-03-31,Europe North,GB,Smart Home,Paid Search,15000.00,1666667,50000,3.2,1600,352000.00,23.5,Awareness,Completed,James Miller
Spring Gadget Refresh,2026-03-01,2026-03-31,Europe North,GB,Tablets,In-Store,12000.00,1333333,40000,2.5,1000,385000.00,32.1,Awareness,Completed,James Miller
Easter Weekend Flash Sale,2026-04-01,2026-04-06,North America,US,Gaming,Social Media,9500.00,1357143,47500,4.5,2137,987324.00,103.9,Acquisition,In Progress,Yuki Tanaka
Easter Weekend Flash Sale,2026-04-01,2026-04-06,North America,US,Gaming,Email,7800.00,1560000,46800,3.8,1778,821316.00,105.3,Acquisition,In Progress,Yuki Tanaka
Easter Weekend Flash Sale,2026-04-01,2026-04-06,Europe West,FR,Accessories,Social Media,9500.00,1583333,47500,3.2,1520,108680.00,11.4,Acquisition,In Progress,Yuki Tanaka
Easter Weekend Flash Sale,2026-04-01,2026-04-06,Europe West,FR,Gaming,Email,7800.00,1300000,39000,4.1,1599,739338.00,94.8,Acquisition,In Progress,Yuki Tanaka
